Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
Kinect Adventures!,X360,2010,Misc,Microsoft Game Studios,14970000.0,4940000.0,240000.0,1670000.0,21820000.0
Grand Theft Auto V,PS3,2013,Action,Take-Two Interactive,7010000.0,9270000.0,970000.0,4139999.9999999995,21400000.0
Grand Theft Auto V,X360,2013,Action,Take-Two Interactive,9630000.0,5310000.0,60000.0,1380000.0,16379999.999999998
Pokemon Black/Pokemon White,DS,2010,Role-Playing,Nintendo,5570000.0,3280000.0,5650000.0,820000.0,15320000.0
Call of Duty: Modern Warfare 3,X360,2011,Shooter,Activision,9030000.0,4280000.0,130000.0,1320000.0,14760000.0
Call of Duty: Black Ops,X360,2010,Shooter,Activision,9670000.0,3730000.0,110000.0,1130000.0,14640000.0
Pokemon X/Pokemon Y,3DS,2013,Role-Playing,Nintendo,5170000.0,4050000.0,4340000.0,790000.0,14350000.0
Call of Duty: Black Ops 3,PS4,2015,Shooter,Activision,5770000.0,5810000.0,350000.0,2310000.0,14240000.0
Call of Duty: Black Ops II,PS3,2012,Shooter,Activision,4990000.0,5880000.0,650000.0,2520000.0,14030000.0
Call of Duty: Black Ops II,X360,2012,Shooter,Activision,8250000.0,4300000.0,70000.0,1120000.0,13730000.0
Call of Duty: Modern Warfare 3,PS3,2011,Shooter,Activision,5540000.0,5820000.0,490000.0,1620000.0,13460000.0
Call of Duty: Black Ops,PS3,2010,Shooter,Activision,5980000.0,4440000.0,480000.0,1830000.0,12730000.0
Mario Kart 7,3DS,2011,Racing,Nintendo,4740000.0,3910000.0,2670000.0,890000.0,12210000.0
Grand Theft Auto V,PS4,2014,Action,Take-Two Interactive,3800000.0,5810000.0,360000.0,2020000.0,11980000.0
Pokemon Omega Ruby/Pokemon Alpha Sapphire,3DS,2014,Role-Playing,Nintendo,4230000.0,3370000.0,3080000.0,650000.0,11330000.0
Super Mario 3D Land,3DS,2011,Platform,Nintendo,4890000.0,2990000.0,2130000.0,780000.0,10790000.0
Gran Turismo 5,PS3,2010,Racing,Sony Computer Entertainment,2960000.0,4880000.0,810000.0,2120000.0,10770000.0
Just Dance 3,Wii,2011,Misc,Ubisoft,6050000.0,3150000.0,0.0,1070000.0,10260000.0
Call of Duty: Ghosts,X360,2013,Shooter,Activision,6720000.0,2630000.0,40000.0,820000.0,10210000.0
Halo: Reach,X360,2010,Shooter,Microsoft Game Studios,7030000.0,1980000.0,80000.0,780000.0,9880000.0
New Super Mario Bros. 2,3DS,2012,Platform,Nintendo,3660000.0,3070000.0,2470000.0,630000.0,9820000.0
Halo 4,X360,2012,Shooter,Microsoft Game Studios,6630000.0,2360000.0,40000.0,730000.0,9760000.0
Call of Duty: Ghosts,PS3,2013,Shooter,Activision,4090000.0,3730000.0,380000.0,1380000.0,9590000.0
Just Dance 2,Wii,2010,Misc,Ubisoft,5840000.0,2890000.0,10000.0,780000.0,9520000.0
Minecraft,X360,2013,Misc,Microsoft Game Studios,5580000.0,2830000.0,20000.0,770000.0,9200000.0
Animal Crossing: New Leaf,3DS,2012,Simulation,Nintendo,2009999.9999999998,2320000.0,4360000.0,410000.0,9090000.0
The Elder Scrolls V: Skyrim,X360,2011,Role-Playing,Bethesda Softworks,5030000.0,2860000.0,100000.0,850000.0,8840000.0
FIFA 16,PS4,2015,Sports,Electronic Arts,1110000.0,6060000.0,60000.0,1260000.0,8490000.0
Wii Party,Wii,2010,Misc,Nintendo,1790000.0,3530000.0,2490000.0,680000.0,8490000.0
Pokemon Black 2/Pokemon White 2,DS,2012,Role-Playing,Nintendo,2910000.0,1860000.0,3140000.0,430000.0,8330000.0
FIFA Soccer 13,PS3,2012,Action,Electronic Arts,1060000.0,5050000.0,130000.0,2009999.9999999998,8240000.0
Super Mario Galaxy 2,Wii,2010,Platform,Nintendo,3660000.0,2420000.0,980000.0,640000.0,7690000.0
Star Wars Battlefront (2015),PS4,2015,Shooter,Electronic Arts,2930000.0,3290000.0,220000.0,1230000.0,7670000.0
Call of Duty: Advanced Warfare,PS4,2014,Shooter,Activision,2800000.0,3300000.0,140000.0,1370000.0,7600000.0
Super Smash Bros. for Wii U and 3DS,3DS,2014,Fighting,Nintendo,3240000.0,1350000.0,2420000.0,430000.0,7450000.0
Battlefield 3,X360,2011,Shooter,Electronic Arts,4460000.0,2130000.0,60000.0,690000.0,7340000.0
Call of Duty: Black Ops 3,XOne,2015,Shooter,Activision,4520000.0,2089999.9999999998,10000.0,670000.0,7300000.0
Battlefield 3,PS3,2011,Shooter,Electronic Arts,2850000.0,2930000.0,350000.0,1100000.0,7230000.0
Mario Kart 8,WiiU,2014,Racing,Nintendo,3130000.0,2069999.9999999998,1270000.0,490000.0,6960000.0
Fallout 4,PS4,2015,Role-Playing,Bethesda Softworks,2470000.0,3150000.0,240000.0,1100000.0,6960000.0
Just Dance 4,Wii,2012,Misc,Ubisoft,4139999.9999999995,2210000.0,0.0,560000.0,6910000.0
FIFA 14,PS3,2013,Sports,Electronic Arts,780000.0,4320000.0,70000.0,1730000.0,6900000.0
Uncharted 3: Drake's Deception,PS3,2011,Action,Sony Computer Entertainment,2770000.0,2800000.0,190000.0,1060000.0,6830000.0
Zumba Fitness,Wii,2010,Sports,505 Games,3500000.0,2640000.0,0.0,670000.0,6810000.0
FIFA 12,PS3,2011,Sports,Electronic Arts,840000.0,4320000.0,110000.0,1420000.0,6690000.0
Red Dead Redemption,PS3,2010,Action,Take-Two Interactive,2790000.0,2610000.0,170000.0,1030000.0,6600000.0
FIFA 15,PS4,2014,Sports,Electronic Arts,790000.0,4290000.0,50000.0,1470000.0,6590000.0
Donkey Kong Country Returns,Wii,2010,Platform,Nintendo,3250000.0,1840000.0,1030000.0,470000.0,6590000.0
